Region,Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,DNA_bendability,X_Displacement,Y_Displacement,Inclination,Tip,Shear,Stretch,Stagger,Buckle,Propel,Opening,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Chi,Phase,Amplitude,Hydrogen_bond,Stacking_energy,Solvation,Shift,Slide,Rise,Tilt,Roll,Twist,A_philicity_energy
genome,GCA_000612645.2_T_muris_v2,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris,Trichuris muris,156.25,-0.028711373,-0.926434151,-0.063504088,3.972866962,0.23341382,0.08699315,0.0233105,0.06742904,2.370258384,-9.550118409,1.915964455,-71.99953974,168.9543346,55.07333848,134.7940243,-160.7437368,-112.4184377,-111.4552732,150.7972437,41.51544653,-13.8785354,-54.2245473,-348.2434245,-0.13895774,-0.30724369,3.32351112,-0.702968065,2.206772094,34.50729956,0.65833388
genome,GCA_000001215.4_Release_6_plus_ISO1_MT,Arthropoda (Mandibulata),Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,69.64,-0.033800392,-0.931733864,-0.067902494,3.938449091,0.249555753,0.08966667,0.0232651,0.06447334,2.365300302,-9.65315389,1.967165315,-71.94551927,169.1626124,55.03155123,134.6772207,-160.8677562,-112.4179624,-111.2042001,150.6326274,41.52138144,-13.69961854,-54.16947985,-348.2652482,-0.13759394,-0.31480328,3.32333523,-0.734167407,2.17164942,34.50939042,0.66675936
genome,GCA_000469805.3_HMN_v3,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis,Hymenolepis microstoma,983.7,-0.035752296,-0.913624715,-0.078134557,3.860325056,0.281879006,0.09704547,0.02405078,0.06336857,2.549706986,-9.987224978,2.108913347,-71.87400253,169.3495606,55.12788059,134.4132087,-161.1042183,-112.3766225,-111.1386531,150.2406699,41.54000222,-13.39304382,-54.10001326,-348.4462988,-0.14426762,-0.32107341,3.32321782,-0.784114897,2.118193744,34.52921413,0.68495868
genome,GCA_001693035.2_Taenia_asiatica_TASYD01_v1,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia asiatica,10054.4125,-0.028378748,-0.92714045,-0.060895497,3.986338733,0.275457756,0.08879063,0.02330439,0.06649992,2.492602674,-9.660571146,1.952248433,-71.96726819,169.0025656,55.12700602,134.6628159,-160.871439,-112.4835383,-111.3493095,150.5886869,41.53134939,-13.78305658,-54.16464892,-348.2470969,-0.1352334,-0.31698419,3.32369555,-0.720817061,2.222211873,34.47992388,0.65985779
genome,GCA_001693075.2_ASM169307v2,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia saginata,9332.25,-0.028331713,-0.927240245,-0.060725186,3.987302876,0.275478163,0.08873877,0.02329501,0.0665143,2.491814067,-9.658521112,1.951295072,-71.96782936,169.000568,55.12689508,134.6648407,-160.8709798,-112.4847122,-111.3509568,150.5915376,41.53136473,-13.78507561,-54.16526485,-348.2470983,-0.13512757,-0.31698062,3.32369938,-0.720481916,2.222830063,34.47988443,0.65972681
genome,GCA_000441895.2_AS2,Arthropoda (Mandibulata),Insecta,Diptera,Culicidae,Anopheles,Anopheles sinensis,16.16,-0.037851082,-0.927675272,-0.06794243,3.945228855,0.269055825,0.08816171,0.02337936,0.0630913,2.469322547,-9.690152855,1.930466275,-71.94674516,169.1066522,54.98820319,134.7646306,-160.8781268,-112.406485,-111.2913347,150.7919209,41.49955558,-13.83825921,-54.18692894,-348.0769619,-0.13628173,-0.30838095,3.32400038,-0.688758753,2.182978369,34.51385016,0.66177986
genome,GCA_000326865.1_Helobdella_robusta_v1.0,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,Helobdella robusta,331,-0.034896689,-0.91545909,-0.108069132,3.794891601,0.245163189,0.10034657,0.02488249,0.05890565,2.043686776,-9.969865483,2.179675598,-71.80492281,169.5942711,54.97950697,134.3167792,-160.9831345,-112.221859,-111.4056957,150.0809371,41.56470756,-13.19491024,-54.13262649,-348.984693,-0.14103511,-0.31216303,3.32009628,-0.752329286,2.068101581,34.55273582,0.69943053
genome,GCA_003052745.1_Sp34_v7,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis inopinata,34,-0.043805101,-0.913174634,-0.066652917,3.896571971,0.316954963,0.09582216,0.02344198,0.06094395,2.805753609,-10.06320936,2.039890788,-71.91894576,169.3552778,55.02736031,134.5860465,-161.0653616,-112.3538126,-111.1816483,150.516912,41.51467623,-13.53735154,-54.12056632,-348.2393456,-0.14442911,-0.31710274,3.32501458,-0.780755007,2.090852802,34.54425059,0.69090548
genome,GCA_003055095.1_ASM305509v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Bethylidae,Goniozus,Goniozus legneri,110.56,-0.039373607,-0.91484324,-0.07833171,3.846381608,0.188936912,0.09280407,0.0244385,0.06339838,2.440822511,-9.73779042,2.006581719,-71.92341741,169.2609392,55.00596816,134.6661396,-160.943667,-112.3122502,-111.168438,150.6581019,41.50903345,-13.64754525,-54.17594458,-348.0944711,-0.13749571,-0.30160513,3.32471156,-0.67913325,2.108523626,34.57357436,0.67524711
genome,GCA_000803305.1_Toxocara_canis_adult_r1.0,Nematoda,Chromadorea,Rhabditida,Toxocaridae,Toxocara,Toxocara canis,2646.25,-0.033450962,-0.916205513,-0.072177335,3.910762856,0.260103726,0.09295723,0.02355289,0.06397605,2.450962204,-9.840781564,2.017170898,-71.93936335,169.1811655,55.0538771,134.6489079,-160.8636073,-112.3397584,-111.4481078,150.5679391,41.53598712,-13.60909748,-54.17624042,-348.4003632,-0.13572949,-0.31318949,3.32413492,-0.727008566,2.135356858,34.5387546,0.67994258
genome,GCA_000688135.1_Acey_2013.11.30.genDNA,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma ceylanicum,243,-0.030151626,-0.930592159,-0.059344571,3.965970084,0.266829602,0.08912849,0.02363203,0.06585748,2.521070158,-9.629713888,1.93393448,-71.97462417,169.0052998,55.10605395,134.7190387,-160.9445002,-112.4784555,-111.1775956,150.7249013,41.50673933,-13.82063148,-54.17353214,-348.2047335,-0.13312293,-0.31362796,3.32408954,-0.690759253,2.192513869,34.49563281,0.6609151
genome,GCA_000469685.2_haemonchus_contortus_MHCO3ISE_4.0,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus,Haemonchus contortus,829.1111111,-0.027813806,-0.928080268,-0.060155905,3.957776061,0.260516905,0.08937908,0.02375835,0.06649302,2.511435299,-9.639493472,1.942873347,-71.96962407,169.0244075,55.16035039,134.6733083,-161.0198847,-112.5249128,-111.0939033,150.6712765,41.50213372,-13.80395161,-54.15918953,-348.1999766,-0.13401884,-0.31597983,3.32398219,-0.692331331,2.200654427,34.48504013,0.65881214
genome,GCA_000816745.1_A_duodenale_2.2.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma duodenale,3049.25,-0.030716208,-0.928131384,-0.060030333,3.959112464,0.273136445,0.09013758,0.02362737,0.06566983,2.546264273,-9.68500211,1.954152294,-71.96463063,169.0415654,55.11656019,134.6835839,-160.9750897,-112.4776613,-111.1720032,150.6655024,41.51167756,-13.77236035,-54.16392767,-348.2448649,-0.13426722,-0.31536645,3.32408692,-0.703932297,2.184021421,34.49668996,0.66407443
genome,GCA_000327385.1_Helro1,Mollusca,Gastropoda,Lottioidea,Lottiidae,Lottia,Lottia gigantea,6077.25,-0.033640172,-0.916061027,-0.09151077,3.808513041,0.273098229,0.10028386,0.02483772,0.06173033,2.294507935,-9.986671933,2.168929401,-71.82762099,169.5098518,55.1266754,134.2704749,-161.1858623,-112.3753276,-111.0251642,150.0480374,41.54935461,-13.22218506,-54.08438458,-348.7913716,-0.14465819,-0.32301042,3.32109225,-0.783511283,2.087143116,34.52243386,0.69092793
genome,GCA_000328365.1_Capca1,Annelida,Polychaeta,Scolecida,Capitellidae,Capitella,Capitella teleta,121.0416667,-0.025715349,-0.925493239,-0.074413183,3.923416724,0.240273094,0.09207606,0.02417955,0.06426588,2.280515227,-9.631660113,2.003428498,-71.93314317,169.1075581,55.12326493,134.5805634,-160.8912281,-112.4000295,-111.2708067,150.5013679,41.5253493,-13.6362503,-54.15647434,-348.4942728,-0.13072989,-0.31241165,3.32204944,-0.694507091,2.180285358,34.49113488,0.6706199
genome,GCA_000699045.2_Apla_2.0,Arthropoda (Mandibulata),Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,152.23,-0.039795627,-0.912729801,-0.088678687,3.801899173,0.280216023,0.09919048,0.02451902,0.06203795,2.353744953,-10.02131663,2.154782709,-71.83807977,169.4939348,55.08215018,134.3592851,-161.1228921,-112.3466488,-111.120325,150.1527909,41.55873791,-13.27574225,-54.10704485,-348.6049472,-0.14560216,-0.31953725,3.32281654,-0.767030314,2.07867291,34.55743324,0.68845279
genome,GCA_001039355.2_LinAna2.0,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,Lingula anatina,2920,-0.031209397,-0.926692317,-0.078661655,3.870213303,0.293808077,0.09649093,0.02425119,0.06262065,2.281938922,-9.842267674,2.097617074,-71.87370829,169.3572091,55.12166941,134.4014057,-161.0672976,-112.4282981,-111.1026577,150.2091843,41.55934226,-13.39283482,-54.10408676,-348.6941221,-0.13446789,-0.32470945,3.32205946,-0.73387168,2.138487284,34.48813073,0.67998621
genome,GCA_003268045.1_YSA_version1,Arthropoda (Mandibulata),Insecta,Hemiptera,Aphididae,Sipha,Sipha flava,43,-0.042049859,-0.917631654,-0.116820564,3.674327738,0.231516434,0.10310753,0.02533967,0.05850475,1.84624092,-10.01796868,2.250741766,-71.76061436,169.7761684,54.99593237,134.2373628,-161.1791979,-112.2327498,-110.9621572,150.0033948,41.5669429,-12.99605663,-54.11276465,-348.9368897,-0.13907867,-0.31455342,3.32104659,-0.722523657,2.01416225,34.59783017,0.70131833
genome,GCA_000347755.4_Ccap_2.1,Arthropoda (Mandibulata),Insecta,Diptera,Tephritidae,Ceratitis,Ceratitis capitata,99.3,-0.039814629,-0.921196073,-0.089329009,3.823680896,0.269776056,0.09785186,0.02374883,0.06127511,2.238337762,-10.00926406,2.132154717,-71.86181661,169.5145959,55.00058152,134.4379131,-160.9844488,-112.3115274,-111.2891195,150.2293998,41.56926113,-13.29010698,-54.12927132,-348.668027,-0.13943219,-0.31975837,3.32283941,-0.775283453,2.080384422,34.54759117,0.69387694
genome,GCA_003590095.1_tn1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,35.2,-0.035723015,-0.917655123,-0.093600599,3.805895022,0.246384748,0.09716333,0.0244872,0.06367307,2.163319151,-9.895837786,2.130442432,-71.8563632,169.4591817,55.04722253,134.3993884,-161.0194541,-112.3323029,-111.2220953,150.2000171,41.5635614,-13.33569728,-54.1422457,-348.6314853,-0.14431729,-0.31562877,3.32182559,-0.748544449,2.097777001,34.54844448,0.68252414
genome,GCA_002382865.2_ASM238286v2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Heliothis,Heliothis virescens,47.49,-0.034569369,-0.922981866,-0.089541404,3.82368585,0.25020625,0.09590752,0.02440088,0.06430853,2.165546662,-9.833990863,2.101339733,-71.87321519,169.4002642,55.05442996,134.4443603,-161.0216874,-112.3679374,-111.1627682,150.2789303,41.55623149,-13.40003887,-54.14842702,-348.5941388,-0.14223261,-0.31636055,3.32177914,-0.736705686,2.112071165,34.53545376,0.67756387
genome,GCA_000341915.2_ASM34191v2,Arthropoda (Mandibulata),Insecta,Diptera,Phoridae,Megaselia,Megaselia scalaris,60.28,-0.040523373,-0.913532717,-0.07920098,3.803499672,0.306170171,0.10074267,0.02430104,0.061218,2.57526831,-10.11696009,2.163854933,-71.83760937,169.4653384,55.09571195,134.3371006,-161.2527588,-112.3826397,-110.9759111,150.1526376,41.54381873,-13.22893099,-54.05537589,-348.4329601,-0.14375036,-0.32799202,3.32471806,-0.800308774,2.076103251,34.55538864,0.69404475
genome,GCA_003073045.1_ASM307304v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea canaliculata,1137.213889,-0.026432845,-0.930041267,-0.064587967,3.937579386,0.278901537,0.09179794,0.02387842,0.06552867,2.33989491,-9.672813749,2.008323165,-71.9441683,169.1374594,55.12825668,134.5506445,-160.9403684,-112.4789418,-111.224411,150.4088505,41.55653153,-13.63954353,-54.14331797,-348.574714,-0.13275578,-0.31976082,3.32262511,-0.704858171,2.198051295,34.4634491,0.66641384
genome,GCA_000764305.4_Hazt_2.0.2,Arthropoda (Mandibulata),Crustacea,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca,185,-0.030322179,-0.92155649,-0.082271422,3.880848511,0.249669159,0.09448947,0.02412747,0.06463722,2.276197282,-9.777435042,2.059871654,-71.91075557,169.2567787,55.08886839,134.5243403,-160.9222602,-112.3496414,-111.2969187,150.391207,41.54554119,-13.50057531,-54.16027343,-348.5700584,-0.13918326,-0.31374259,3.32201423,-0.732269179,2.14022804,34.52039632,0.67843583
genome,GCA_002022765.4_C_virginica-3.0,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Crassostrea virginica,2930.95,-0.034364925,-0.918598064,-0.086385617,3.837314566,0.293207473,0.09884192,0.0245969,0.06094178,2.329669931,-9.942398809,2.130803086,-71.84254727,169.4427359,55.10015631,134.3393716,-161.1016292,-112.3826067,-111.1435864,150.1318471,41.55442642,-13.31546306,-54.086995,-348.6359868,-0.13699851,-0.32339379,3.32228613,-0.747817275,2.108982309,34.50981759,0.68725653
genome,GCA_003991915.1_ElyChl2.0,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia,Elysia chlorotica,466.3888889,-0.031043667,-0.926973067,-0.073122761,3.898169111,0.277240977,0.09601544,0.02444732,0.06468409,2.470297421,-9.834969215,2.07825314,-71.88033352,169.3487039,55.08409909,134.4209302,-161.115298,-112.4390043,-111.0163742,150.238294,41.56058455,-13.46409985,-54.08819167,-348.4414955,-0.13971555,-0.32084177,3.32380537,-0.766290686,2.14577667,34.51165753,0.67488635
genome,GCA_002938485.2_Soryzae_2.0,Arthropoda (Mandibulata),Insecta,Coleoptera,Curculionidae,Sitophilus,Sitophilus oryzae,124.85,-0.043633523,-0.918113396,-0.092660819,3.773189244,0.295688587,0.10104986,0.02444649,0.06020918,2.287856481,-10.10515043,2.186438364,-71.81849259,169.6350562,55.04558788,134.3157099,-161.1988998,-112.3406816,-110.9534711,150.0988164,41.56172574,-13.15144256,-54.085792,-348.6638255,-0.14669329,-0.3232624,3.32334051,-0.791778615,2.045004511,34.57487706,0.69615363
genome,GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,291.4375,-0.028576834,-0.931156894,-0.053833663,3.986848092,0.260488295,0.08746834,0.02340353,0.06730727,2.578103463,-9.592274524,1.905011815,-71.99971568,168.9104728,55.13043196,134.7668781,-160.9091774,-112.5064636,-111.2171452,150.7904217,41.50398371,-13.89532066,-54.17574888,-348.0655619,-0.13377689,-0.31422572,3.32483651,-0.694423067,2.215748921,34.48844191,0.65569249
genome,GCA_002269645.1_Mlig_3_7,Platyhelminthes,Turbellaria,Macrostomida,Macrostomidae,Macrostomum,Macrostomum lignano,627.2916667,-0.020084162,-0.940392321,-0.048084822,4.022955113,0.243093153,0.08634723,0.02369597,0.0714207,2.515005295,-9.361691885,1.875652297,-72.04227612,168.8201148,55.17495104,134.7509718,-160.8478985,-112.5497605,-111.0133864,150.7517059,41.51786796,-13.93904459,-54.17249951,-348.0829548,-0.14405801,-0.31420954,3.3232088,-0.744576321,2.251591243,34.45957878,0.64522897
genome,GCA_003671525.1_Sgl1.0,Mollusca,Bivalvia,Ostreida,Ostreidae,Saccostrea,Saccostrea glomerata,2737.5,-0.037398577,-0.91512306,-0.086838765,3.811579956,0.309023017,0.10065059,0.02448662,0.06032622,2.364717639,-10.05858795,2.165828501,-71.83300087,169.519053,55.1119077,134.2945852,-161.1475071,-112.3711467,-111.1069637,150.0560296,41.56272093,-13.21839059,-54.07194755,-348.6719552,-0.13891481,-0.32635805,3.32278329,-0.76721301,2.081846699,34.52567089,0.69427601
genome,GCA_002072015.1_ASM207201v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Radix,Radix auricularia,730,-0.035092397,-0.926987849,-0.083822874,3.839952244,0.292792539,0.09699016,0.02438548,0.0623791,2.282216799,-9.901911693,2.115160707,-71.84650788,169.4277276,55.04873124,134.3813521,-161.112297,-112.4004336,-111.0690738,150.1915351,41.55850654,-13.35600057,-54.09798485,-348.5376271,-0.14283509,-0.32218659,3.32281559,-0.754605806,2.129153681,34.51880162,0.67975564
genome,GCA_002091915.1_Lexo_gen_Assembly01,Arthropoda (Mandibulata),Crustacea,Isopoda,Ligiidae,Ligia,Ligia exotica,602.25,-0.032357033,-0.929877855,-0.066813795,3.823716599,0.277197831,0.09761946,0.02469064,0.06381635,2.469428061,-9.886712721,2.117518872,-71.85717162,169.305337,55.25128432,134.3717189,-161.4180154,-112.5188668,-110.4714834,150.2627288,41.51931912,-13.35949407,-54.03882709,-348.409111,-0.12990563,-0.32972038,3.32696599,-0.71122242,2.125685508,34.54759149,0.67618206
genome,GCA_001703475.1_H_elegans_v1.0,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides elegans,304.1666667,-0.033460357,-0.919799137,-0.0904293,3.816089436,0.244189106,0.09744328,0.02455936,0.06135677,2.153333734,-9.890260872,2.115952696,-71.85096691,169.4085928,55.06385195,134.4156741,-161.0623334,-112.351185,-111.1497568,150.2718216,41.53724166,-13.3399289,-54.12221302,-348.6432569,-0.13540637,-0.31830218,3.32268427,-0.732446814,2.096637638,34.54292713,0.68666166
genome,GCA_002113885.2_ASM211388v2,Mollusca,Bivalvia,Pectinida,Pectinidae,Mizuhopecten,Mizuhopecten yessoensis,5031.785714,-0.025769798,-0.928957316,-0.092204789,3.839047542,0.247607816,0.09588215,0.02516123,0.0635292,1.993485178,-9.661967936,2.098013116,-71.85660902,169.3445941,55.14837425,134.3483563,-161.108918,-112.4676458,-111.0365219,150.1712517,41.54891828,-13.41488249,-54.12561793,-348.8265168,-0.13473238,-0.32009126,3.32010392,-0.688573289,2.156498244,34.47350873,0.66972252
genome,GCA_000002075.2_AplCal3.0,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia californica,365,-0.029936854,-0.932826071,-0.063638533,3.931824638,0.279373427,0.09274038,0.02413557,0.06478465,2.50221989,-9.707930868,2.016007435,-71.90701233,169.2050094,55.09326384,134.5142524,-161.0659223,-112.4946724,-111.0492863,150.3812328,41.54933537,-13.6257849,-54.10336886,-348.3419516,-0.13302642,-0.32260922,3.32453871,-0.71751977,2.184690529,34.47865925,0.66575279
genome,GCA_003918875.1_ASM391887v1,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis rubra,6387.5,-0.020921757,-0.935690034,-0.081265328,3.91209393,0.238692995,0.09106437,0.02473936,0.06482562,2.035263184,-9.486603706,2.003675432,-71.91111402,169.1489009,55.12947973,134.5119542,-160.9931284,-112.4944141,-111.1294209,150.4249021,41.52791584,-13.6578589,-54.16415902,-348.7060405,-0.13078546,-0.31501956,3.31989851,-0.657038627,2.216773026,34.44165252,0.65775894
genome,GCA_003401595.1_ASM340159v1,Mollusca,Bivalvia,Unionida,Unionidae,Venustaconcha,Venustaconcha ellipsiformis,5475,-0.030508851,-0.918664246,-0.089759116,3.831333423,0.27674056,0.0989399,0.02460083,0.06162251,2.190652772,-9.914023086,2.147194054,-71.84503913,169.4490208,55.10748564,134.3179508,-161.076821,-112.3703616,-111.1842313,150.0903096,41.5609645,-13.2748534,-54.10281449,-348.8693602,-0.13667783,-0.32204904,3.32056089,-0.751306261,2.111940982,34.50403732,0.68841218
genome,GCA_000517525.1_Limulus_polyphemus-2.1.2,Arthropoda (Chelicerata),Merostomata,Xiphosura,Limulidae,Limulus,Limulus polyphemus,7026.25,-0.033198898,-0.921187071,-0.092580006,3.798653122,0.259540705,0.09933915,0.02464842,0.06335548,2.190270608,-9.959029699,2.178749859,-71.81726241,169.5592225,55.09340314,134.2771218,-161.1947017,-112.3815093,-111.0111161,150.0275834,41.56849336,-13.22351958,-54.10355151,-348.8473564,-0.14311363,-0.32345973,3.32158312,-0.765316417,2.098088901,34.52830197,0.6860538
genome,GCA_002091895.1_Cmul_gen_Assembly01,Arthropoda (Mandibulata),Crustacea,Decapoda,Atyidae,Caridina,Caridina multidentata,2190,-0.030010625,-0.919500519,-0.078950907,3.784396588,0.259291392,0.10064888,0.02488034,0.06359151,2.298455201,-9.961213441,2.180946986,-71.84116132,169.4626236,55.1919407,134.2955352,-161.2759545,-112.4006241,-110.7893918,150.0792294,41.56253849,-13.20668125,-54.05885994,-348.7565669,-0.12612359,-0.3240283,3.32396914,-0.718411417,2.087156629,34.55811273,0.68896088
genome,GCA_003999395.1_Eisenia_fetida_CLC_PE_MP,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida,2051.908333,-0.024014452,-0.925163996,-0.072735534,3.902747583,0.269974254,0.09217357,0.02435673,0.06641957,2.25637142,-9.616130749,2.011741146,-71.95968099,169.0441428,55.13721631,134.611686,-160.913613,-112.4069156,-111.2556614,150.5464119,41.53853198,-13.62608083,-54.15400031,-348.5377212,-0.13824924,-0.31585433,3.32186317,-0.7156979,2.192724538,34.48629166,0.66434357
