phylotree_tip_name,Assembly.Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,ln_Genome_size,eigenvector_1,eigenvector_2,eigenvector_3,eigenvector_4,eigenvector_5,eigenvector_6,eigenvector_7,eigenvector_8,eigenvector_9,eigenvector_10,eigenvector_11,eigenvector_12,Lifespan,log_lifespan
Acanthocheilonema_viteae_ott295364,GCA_046563165.1_ASM4656316v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Acanthocheilonema,Acanthocheilonema viteae,18.21114397,-0.007957871,-0.087093234,0.085831256,0.001105157,0.010318192,-0.004923198,-0.001957968,5.3651e-4,9.45057e-4,3.08e-5,8.78e-5,-1e-4,730.2,6.593318469221536
Pristionchus_arcanus_ott576362,GCA_900490705.1_P._arcanus_genome,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus arcanus,19.12751957,-0.007960056,-0.087159632,0.085941398,0.001107458,0.010348792,-0.00495344,-0.001975302,5.43906e-4,9.58632e-4,3.14e-5,8.94e-5,-1.02165e-4,80,4.382026634673881
Wuchereria_bancrofti_ott245091,GCA_005281725.1_ASM528172v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Wuchereria,Wuchereria bancrofti,18.29756633,-0.007957871,-0.087093234,0.085831256,0.001105157,0.010318192,-0.004923198,-0.001957968,5.3651e-4,9.45057e-4,3.08e-5,8.78e-5,-1e-4,5196.632813,8.555766158866021
Dirofilaria_immitis_ott819804,GCA_024305405.1_ICBAS_JMDir_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria immitis,18.27927591,-0.007957896,-0.087093972,0.085832477,0.001105182,0.010318529,-0.004923528,-0.001958156,5.36589e-4,9.45202e-4,3.08e-5,8.78e-5,-1e-4,2509.125,7.827689365771091
Pristionchus_exspectatus_ott576348,GCA_911812115.1_exspectatus_chromosome,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus exspectatus,18.94885366,-0.007960056,-0.087159632,0.085941398,0.001107458,0.010348792,-0.00495344,-0.001975302,5.43906e-4,9.58632e-4,3.14e-5,8.94e-5,-1.02165e-4,138.5,4.930870325627393
Brugia_pahangi_ott510894,GCA_012070555.1_ASM1207055v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia pahangi,18.38394328,-0.007957889,-0.087093765,0.085832135,0.001105175,0.010318435,-0.004923436,-0.001958103,5.36567e-4,9.45161e-4,3.08e-5,8.78e-5,-1e-4,1956.135,7.57872586661801
Caenorhabditis_monodelphis_ott624495,GCA_964197825.1_nxCaeMono1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis monodelphis,18.59820448,-0.007960368,-0.087169111,0.085957105,0.001107786,0.010353141,-0.004957711,-0.001977736,5.44935e-4,9.60518e-4,3.15e-5,8.97e-5,-1.02467e-4,20,2.995732273553991
Caenorhabditis_angaria_ott94476,GCA_964213925.1_nxCaeAnga2.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis angaria,18.09202082,-0.007960369,-0.087169141,0.085957155,0.001107787,0.010353155,-0.004957724,-0.001977744,5.44938e-4,9.60524e-4,3.15e-5,8.97e-5,-1.02468e-4,24,3.1780538303479458
Dracunculus_medinensis_ott560721,GCA_900625125.1_D_medinensis_Ghana_0011_upd,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus,Dracunculus medinensis,18.45750074,-0.007956909,-0.087064024,0.085782885,0.001104149,0.010304826,-0.004910124,-0.001950539,5.33389e-4,9.3934e-4,3.06e-5,8.71e-5,-9.91e-5,468.75,6.15006957728462
Onchocerca_volvulus_ott819809,GCA_000499405.2_ASM49940v2,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca volvulus,18.3834002,-0.007957895,-0.08709396,0.085832458,0.001105182,0.010318524,-0.004923523,-0.001958153,5.36588e-4,9.452e-4,3.08e-5,8.78e-5,-1e-4,3872.925,8.26176531449379
Poikilolaimus_oxycercus_ott3587972,GCA_034700245.1_ASM3470024v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Poikilolaimus,Poikilolaimus oxycercus,18.96821934,-0.007960154,-0.087162619,0.085946348,0.001107562,0.010350163,-0.004954787,-0.00197607,5.44231e-4,9.59228e-4,3.14e-5,8.95e-5,-1.0226e-4,123,4.812184355372417
Strongylus_vulgaris_ott585543,GCA_900624965.1_S_vulgaris_Kentucky_0011_upd,Nematoda,Chromadorea,Rhabditida,Strongylidae,Strongylus,Strongylus vulgaris,19.48916394,-0.007960442,-0.08717134,0.085960799,0.001107863,0.010354164,-0.004958716,-0.001978309,5.45177e-4,9.60962e-4,3.15e-5,8.97e-5,-1.02538e-4,2436.25,7.79821525082177
Cercopithifilaria_bainae_ott331879,GCA_916381525.1_SD210906,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Cercopithifilaria,Cercopithifilaria johnstoni,18.15851966,-0.007957871,-0.087093234,0.085831256,0.001105157,0.010318192,-0.004923198,-0.001957968,5.3651e-4,9.45057e-4,3.08e-5,8.78e-5,-1e-4,574.875,6.354152625860088
Angiostrongylus_vasorum_ott569850,GCA_018806985.1_UZH_Avas_1.0,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus vasorum,19.45011709,-0.007960414,-0.087170512,0.085959427,0.001107834,0.010353784,-0.004958342,-0.001978097,5.45087e-4,9.60798e-4,3.15e-5,8.97e-5,-1.02511e-4,1257.045,7.136519007472133
Oscheius_dolichura_ott14290,GCA_932521035.1_nxOscDolc1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius dolichura,18.06903869,-0.007960193,-0.087163807,0.085948317,0.001107603,0.010350708,-0.004955322,-0.001976375,5.44359e-4,9.59464e-4,3.14e-5,8.95e-5,-1.02298e-4,43.9,3.7819143200811256
Toxascaris_leonina_ott396917,GCA_022844705.1_ASM2284470v1,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxascaris,Toxascaris leonina,19.46735911,-0.007956969,-0.087065849,0.085785906,0.001104212,0.010305661,-0.004910939,-0.001951002,5.33583e-4,9.39695e-4,3.06e-5,8.71e-5,-9.91e-5,425.5416667,6.0533628673084845
Brugia_timori_ott462290,GCA_900618025.1_B_timori_Indonesia_v1_0_4_001_upd,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia timori,17.98883132,-0.007957889,-0.087093765,0.085832135,0.001105175,0.010318435,-0.004923436,-0.001958103,5.36567e-4,9.45161e-4,3.08e-5,8.78e-5,-1e-4,2628,7.873978379604501
Caenorhabditis_macrosperma_ott624491,GCA_963932285.1_nxCaeMacr1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis macrosperma,18.54247608,-0.007960368,-0.087169111,0.085957105,0.001107786,0.010353141,-0.004957711,-0.001977736,5.44935e-4,9.60518e-4,3.15e-5,8.97e-5,-1.02467e-4,13,2.5649493574615367
Pristionchus_mayeri_ott5262691,GCA_036245805.1_ASM3624580v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus mayeri,19.48822425,-0.007960056,-0.087159632,0.085941398,0.001107458,0.010348792,-0.00495344,-0.001975302,5.43906e-4,9.58632e-4,3.14e-5,8.94e-5,-1.02165e-4,77,4.343805421853684
Haemonchus_contortus_ott819797,GCA_000469685.2_haemonchus_contortus_MHCO3ISE_4.0,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus,Haemonchus contortus,19.46250858,-0.007960496,-0.087173,0.08596355,0.00110792,0.010354926,-0.004959463,-0.001978736,5.45357e-4,9.61293e-4,3.15e-5,8.98e-5,-1.02591e-4,829.1111111,6.720354176431482
Cooperia_oncophora_ott970617,GCA_036418165.1_C_oncophora_1.0.allpaths.nc.pg.lrna,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Cooperia,Cooperia oncophora,20.03745606,-0.007960488,-0.087172741,0.08596312,0.001107911,0.010354807,-0.004959346,-0.001978669,5.45329e-4,9.61241e-4,3.15e-5,8.98e-5,-1.02582e-4,418.1666667,6.0358800772180805
Radopholus_similis_ott186666,GCA_013357305.1_ASM1335730v1,Nematoda,Chromadorea,Rhabditida,Pratylenchidae,Radopholus,Radopholus similis,17.73845766,-0.007957207,-0.087073119,0.085798042,0.001104468,0.0103091,-0.004914462,-0.00195308,5.34515e-4,9.41414e-4,3.07e-5,8.73e-5,-9.94e-5,166.0416667,5.112238761077123
Oscheius_tipulae_ott347938,GCA_037178975.1_ASM3717897v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius tipulae,17.9169016,-0.007960193,-0.087163807,0.085948317,0.001107603,0.010350708,-0.004955322,-0.001976375,5.44359e-4,9.59464e-4,3.14e-5,8.95e-5,-1.02298e-4,26,3.258096538021482
Cephaloboides_curvicaudata_ott4167756,GCA_964057225.1_nxAuaRhod1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Auanema,Auanema rhodensis,19.01352017,-0.007960192,-0.087163749,0.08594822,0.001107601,0.010350681,-0.004955296,-0.00197636,5.44353e-4,9.59452e-4,3.14e-5,8.95e-5,-1.02296e-4,11,2.3978952727983707
Haemonchus_placei_placei_ott92689,GCA_900617895.1_H_placei_MHpl1_0011_upd,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus,Haemonchus placei,19.37282464,-0.007960496,-0.087173,0.08596355,0.00110792,0.010354926,-0.004959463,-0.001978736,5.45357e-4,9.61293e-4,3.15e-5,8.98e-5,-1.02591e-4,175.25,5.166213525914699
Onchocerca_lupi_ott847619,GCA_028564675.1_Olupi_Ro2020_NM.1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca lupi,18.34262714,-0.007957895,-0.08709396,0.085832458,0.001105182,0.010318524,-0.004923523,-0.001958153,5.36588e-4,9.452e-4,3.08e-5,8.78e-5,-1e-4,3131.55,8.049283368627078
Panagrellus_redivivus_ott395066,GCA_000341325.1_Pred3,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,17.99132983,-0.007957351,-0.087077511,0.085805313,0.001104619,0.010311108,-0.004916425,-0.001954195,5.34983e-4,9.42272e-4,3.07e-5,8.74e-5,-9.95e-5,32.775,3.4896660296497637
Necator_americanus_ott856981,GCA_031761385.1_Nec_am_Ar_1.0,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Necator,Necator americanus,19.27278385,-0.00796044,-0.087171299,0.08596073,0.001107862,0.010354145,-0.004958697,-0.001978299,5.45172e-4,9.60954e-4,3.15e-5,8.97e-5,-1.02536e-4,4603.222222,8.434511820296928
Brugia_malayi_ott295367,GCA_000002995.5_B_malayi-4.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia malayi,18.28320688,-0.007957889,-0.087093765,0.085832135,0.001105175,0.010318435,-0.004923436,-0.001958103,5.36567e-4,9.45161e-4,3.08e-5,8.78e-5,-1e-4,2677.305,7.892565970538081
Lepidochitona_cinerea_ott472453,GCA_963971465.1_xpLepCine2.1,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Lepidochitona,Lepidochitona cinerea,20.37474032,-0.063896787,0.006979621,0.001094508,5.44e-5,6.49401e-4,-3.56013e-4,-1.3498e-4,2.66e-5,4.28e-5,-9.84e-6,-0.009501634,-0.001264389,1140.625,7.039331636770856
Katharina_tunicata_ott837687,GCA_032466195.1_ASM3246619v1,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Katharina tunicata,20.34385641,-0.063896816,0.00697963,0.001094511,5.44e-5,6.49404e-4,-3.56016e-4,-1.34982e-4,2.67e-5,4.28e-5,-9.84e-6,-0.009501911,-0.001264431,6205,8.733110697638708
Acanthopleura_granulata_ott457177,GCA_016165875.1_ASM1616587v1,Mollusca,Polyplacophora,Chitonida,Chitonidae,Acanthopleura,Acanthopleura granulata,20.22327618,-0.063896319,0.00697948,0.001094471,5.44e-5,6.4935e-4,-3.55956e-4,-1.34949e-4,2.66e-5,4.28e-5,-9.83e-6,-0.009497076,-0.001263695,2069.854167,7.635233433053008
Cryptochiton_stelleri_ott632182,GCA_031471745.1_ASM3147174v1,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Cryptochiton,Cryptochiton stelleri,20.4795808,-0.063896816,0.00697963,0.001094511,5.44e-5,6.49404e-4,-3.56016e-4,-1.34982e-4,2.67e-5,4.28e-5,-9.84e-6,-0.009501911,-0.001264431,9976.666667,9.208004312212045
Linyphia_triangularis_ott517086,GCA_963978545.1_qqLinTria7.1,Arthropoda (Chelicerata),Arachnida,Araneae,Linyphiidae,Linyphia,Linyphia triangularis,21.02271147,-0.006692582,-0.040371402,-0.020342321,-0.002749112,-0.190050759,-0.02637364,-0.008201317,0.001905697,0.003316834,1.00797e-4,2.33094e-4,-2.59619e-4,264.625,5.578313729455029
Trichonephila_clavipes_ott201922,GCA_019973935.1_Tncv_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Nephilidae,Trichonephila,Trichonephila clavipes,21.77909261,-0.006692582,-0.040371402,-0.020342321,-0.002749112,-0.190050759,-0.02637364,-0.008201317,0.001905697,0.003316834,1.00797e-4,2.33094e-4,-2.59619e-4,365,5.8998973535824915
Larinioides_sclopetarius_ott703350,GCA_964023285.1_Lsc-v1-1,Arthropoda (Chelicerata),Arachnida,Araneae,Araneidae,Larinioides,Larinioides sclopetarius,21.54486697,-0.006692582,-0.040371402,-0.020342321,-0.002749112,-0.190050759,-0.02637364,-0.008201317,0.001905697,0.003316834,1.00797e-4,2.33094e-4,-2.59619e-4,595,6.38856140554563
Acanthoscurria_geniculata_ott44519,GCA_000661875.1_Agen_v1,Arthropoda (Chelicerata),Arachnida,Araneae,Theraphosidae,Acanthoscurria,Acanthoscurria geniculata,22.69434269,-0.00669107,-0.04034611,-0.020320902,-0.002744425,-0.189590445,-0.026242488,-0.008142975,0.001884867,0.003279116,9.93e-5,2.2962e-4,-2.55181e-4,3491,8.157943507105037
Sepia_bandensis_ott2868417,GCA_037127315.1_Cuttlefish_Shasta_Assembly-Phased_Primary,Mollusca,Cephalopoda,Sepiida,Sepiidae,Ascarosepion,Ascarosepion bandense,22.50627928,-0.064323171,0.007110829,0.001129685,5.73e-5,7.00258e-4,-4.20715e-4,-1.74808e-4,4.44e-5,7.51e-5,-1.29e-5,-0.013879557,-0.006234248,273.75,5.612215281130711
Sepiola_parva_ott2868474,GCA_964059275.1_xcSepParv1.hap1.1,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Eumandya,Eumandya parva,22.21074101,-0.064322852,0.007110731,0.001129659,5.73e-5,7.00221e-4,-4.2067e-4,-1.74781e-4,4.44e-5,7.51e-5,-1.29e-5,-0.013875055,-0.006231932,91.25,4.513602992462601
Sepiola_atlantica_ott562824,GCA_963556195.1_xcSepAtla11.1,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepiola,Sepiola atlantica,22.44360681,-0.064322852,0.007110731,0.001129659,5.73e-5,7.00221e-4,-4.2067e-4,-1.74781e-4,4.44e-5,7.51e-5,-1.29e-5,-0.013875055,-0.006231932,304.1666667,5.717575796898126
Sepia_lycidas_ott262643,GCA_963932145.1_xcSepLyci1.1,Mollusca,Cephalopoda,Sepiida,Sepiidae,Acanthosepion,Acanthosepion lycidas,22.36336609,-0.064323194,0.007110836,0.001129687,5.73e-5,7.00261e-4,-4.20719e-4,-1.7481e-4,4.44e-5,7.51e-5,-1.29e-5,-0.013879881,-0.006234414,365,5.8998973535824915
Sepia_esculenta_ott622220,GCA_964036315.1_xcSepEscu2.1,Mollusca,Cephalopoda,Sepiida,Sepiidae,Acanthosepion,Acanthosepion esculentum,22.36077199,-0.064323194,0.007110836,0.001129687,5.73e-5,7.00261e-4,-4.20719e-4,-1.7481e-4,4.44e-5,7.51e-5,-1.29e-5,-0.013879881,-0.006234414,365,5.8998973535824915
Cryptolaemus_montrouzieri_ott1076877,GCA_013387265.2_ASM1338726v2,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Cryptolaemus,Cryptolaemus montrouzieri,20.71121398,-0.007213494,-0.054775067,-0.05496759,0.0491236,0.009678672,0.026368537,0.122775729,-0.211528727,0.172911971,0.087987371,1.697e-4,-3.95727e-4,81.71,4.403176393396616
Rhyzopertha_dominica_ott633644,GCA_025024175.1_Rdo_ARS_Dec2018,Arthropoda (Mandibulata),Insecta,Coleoptera,Bostrichidae,Rhyzopertha,Rhyzopertha dominica,19.98755928,-0.007207125,-0.054640904,-0.054741242,0.048795924,0.009586914,0.025854445,0.119346834,-0.20242975,0.165171565,0.082921486,1.59719e-4,-3.69002e-4,189.5,5.244389024522481
Dalotia_coriaria_ott1010594,GCA_025399875.3_Caltech_Dcor_3.1,Arthropoda (Mandibulata),Insecta,Coleoptera,Staphylinidae,Dalotia,Dalotia coriaria,19.08273054,-0.007182932,-0.054131237,-0.053881266,0.047550732,0.009238154,0.023898993,0.106296204,-0.167760011,0.135674607,0.063598568,1.21646e-4,-2.66989e-4,68.95,4.233381604239311
Plagiodera_versicolora_ott535621,GCA_037013635.1_ASM3701363v1,Arthropoda (Mandibulata),Insecta,Coleoptera,Chrysomelidae,Plagiodera,Plagiodera versicolora,19.26768574,-0.007208327,-0.054666202,-0.054783887,0.048857584,0.009604157,0.025950581,0.119985377,-0.204111416,0.166600871,0.083850805,1.61549e-4,-3.73879e-4,43.11,3.763754988759043
Dastarcus_helophoroides_ott524802,GCA_028583605.1_ASM2858360v1,Arthropoda (Mandibulata),Insecta,Coleoptera,Bothrideridae,Dastarcus,Dastarcus helophoroides,20.10504494,-0.007213424,-0.054773593,-0.054965105,0.049120005,0.009677666,0.026362918,0.122738344,-0.211429967,0.172828001,0.087932622,1.69592e-4,-3.95439e-4,1496.9,7.31115158192119
Adalia_bipunctata_revelierei_ott7165568,GCA_910592335.1_icAdaBipu1.1,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Adalia,Adalia bipunctata,19.97943187,-0.007213528,-0.054775782,-0.054968796,0.049125345,0.009679161,0.026371264,0.122793872,-0.211576653,0.172952719,0.088013936,1.69752e-4,-3.95867e-4,74.43,4.309859086371819
Coccinella_septempunctata_brucki_ott646773,GCA_907165205.1_icCocSept1.1,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,19.80414256,-0.007213528,-0.054775782,-0.054968796,0.049125345,0.009679161,0.026371264,0.122793872,-0.211576653,0.172952719,0.088013936,1.69752e-4,-3.95867e-4,69.28,4.2381562642541795
Marioniopsis_babai_ott7960344,GCA_030265205.1_ASM3026520v1,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,Dirona pellucida,20.14725495,-0.064838078,0.007272244,0.001173847,6.11e-5,7.6868e-4,-5.21731e-4,-2.47147e-4,9.07e-5,1.63996e-4,-3.34e-5,-0.043191543,-0.095513817,365,5.8998973535824915
Doris_verrucosa_ott720739,GCA_031762655.1_ASM3176265v1,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris verrucosa,20.21415378,-0.064835412,0.007271415,0.001173622,6.11e-5,7.68342e-4,-5.21259e-4,-2.46828e-4,9.05e-5,1.63658e-4,-3.33e-5,-0.043075046,-0.095218674,365,5.8998973535824915
Goniobranchus_kuniei_ott168509,GCA_025770095.1_ASM2577009v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus kuniei,20.89801824,-0.064835952,0.007271583,0.001173668,6.11e-5,7.6841e-4,-5.21355e-4,-2.46892e-4,9.06e-5,1.63726e-4,-3.33e-5,-0.043098533,-0.095278138,365,5.8998973535824915
Ancula_gibbosa_ott739837,GCA_031833985.1_ASM3183398v1,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Ancula,Ancula gibbosa,20.27391035,-0.064834508,0.007271134,0.001173546,6.11e-5,7.68227e-4,-5.211e-4,-2.4672e-4,9.05e-5,1.63544e-4,-3.32e-5,-0.043035757,-0.095119207,121.6666667,4.801285065188354
Plocamopherus_tilesii_ott2875191,GCA_037974505.1_ASM3797450v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus tilesii,20.50215928,-0.064835123,0.007271325,0.001173598,6.11e-5,7.68305e-4,-5.21208e-4,-2.46793e-4,9.05e-5,1.63621e-4,-3.33e-5,-0.043062488,-0.095186875,109,4.6913478822291435
Plocamopherus_ceylonicus_ott917810,GCA_039654545.1_ASM3965454v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus ceylonicus,20.81301565,-0.064835123,0.007271325,0.001173598,6.11e-5,7.68305e-4,-5.21208e-4,-2.46793e-4,9.05e-5,1.63621e-4,-3.33e-5,-0.043062488,-0.095186875,365,5.8998973535824915
Melibe_bucephala_ott2874829,GCA_039654525.1_ASM3965452v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Melibe,Melibe bucephala,20.54240044,-0.064838106,0.007272253,0.00117385,6.11e-5,7.68684e-4,-5.21736e-4,-2.4715e-4,9.07e-5,1.63999e-4,-3.34e-5,-0.043192771,-0.095516927,365,5.8998973535824915
Plocamopherus_imperialis_ott2875188,GCA_039654505.1_ASM3965450v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus imperialis,20.45508575,-0.064835123,0.007271325,0.001173598,6.11e-5,7.68305e-4,-5.21208e-4,-2.46793e-4,9.05e-5,1.63621e-4,-3.33e-5,-0.043062488,-0.095186875,90,4.499809670330265
Goniobranchus_fidelis_ott574892,GCA_028565935.1_ASM2856593v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus fidelis,20.64992076,-0.064835952,0.007271583,0.001173668,6.11e-5,7.6841e-4,-5.21355e-4,-2.46892e-4,9.06e-5,1.63726e-4,-3.33e-5,-0.043098533,-0.095278138,53,3.970291913552122
Hermissenda_crassicornis_ott159591,GCA_031471375.1_ASM3147137v1,Mollusca,Gastropoda,Nudibranchia,Glaucidae,Hermissenda,Hermissenda crassicornis,19.99475237,-0.064836752,0.007271832,0.001173735,6.11e-5,7.68512e-4,-5.21496e-4,-2.46988e-4,9.06e-5,1.63828e-4,-3.33e-5,-0.04313375,-0.095367451,160,5.075173815233827
Berghia_stephanieae_ott2876020,GCA_034508935.3_UCSD_Bste_1.2,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Berghia,Berghia stephanieae,20.83802532,-0.064836793,0.007271845,0.001173739,6.11e-5,7.68517e-4,-5.21504e-4,-2.46993e-4,9.06e-5,1.63833e-4,-3.33e-5,-0.043135521,-0.095371935,547.5,6.305362461690656
Goniobranchus_leopardus_ott168511,GCA_028566475.1_ASM2856647v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus leopardus,19.88519989,-0.064835952,0.007271583,0.001173668,6.11e-5,7.6841e-4,-5.21355e-4,-2.46892e-4,9.06e-5,1.63726e-4,-3.33e-5,-0.043098533,-0.095278138,365,5.8998973535824915
Scyllaea_pelagica_ott204536,GCA_031833965.1_ASM3183396v1,Mollusca,Gastropoda,Nudibranchia,Scyllaeidae,Scyllaea,Scyllaea pelagica,20.28772146,-0.064838002,0.007272221,0.001173841,6.11e-5,7.68671e-4,-5.21717e-4,-2.47138e-4,9.07e-5,1.63986e-4,-3.34e-5,-0.043188252,-0.095505484,365,5.8998973535824915
