Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Region,DNA_bendability,X_Displacement,Y_Displacement,Inclination,Tip,Shear,Stretch,Stagger,Buckle,Propel,Opening,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Chi,Phase,Amplitude,Hydrogen_bond,Stacking_energy,Solvation,Shift,Slide,Rise,Tilt,Roll,Twist,A_philicity_energy
GCA_001693075.2_ASM169307v2,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia saginata,9332.25,genome,-0.028331713,-0.9272402451913,-0.0607251860538599,3.9873028758803,0.27547816268274,0.08873877,0.02329501,0.0665143,2.4918140669999995,-9.658521111999995,1.9512950720000009,-71.96782936376998,169.0005679514,55.12689507567,134.66484068349996,-160.87097982500003,-112.48471224830004,-111.35095678968,150.59153763409998,41.53136472529998,-13.785075608499993,-54.16526485,-348.24709829999995,-0.13512757,-0.31698062,3.323699380000001,-0.7204819159999994,2.222830062999999,34.479884429999984,0.65972681
GCA_001693035.2_Taenia_asiatica_TASYD01_v1,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia asiatica,10054.4125,genome,-0.028378748,-0.9271404504679,-0.0608954974396199,3.9863387334048985,0.2754577564083599,0.08879063,0.0233043899999999,0.0664999199999999,2.4926026740000005,-9.660571146,1.952248433,-71.96726818869999,169.00256563229993,55.12700601541,134.662815912,-160.87143904460004,-112.48353834319003,-111.34930949469005,150.5886869433,41.53134939440999,-13.783056576499993,-54.16464891750001,-348.2470968999999,-0.1352334000000001,-0.3169841899999999,3.3236955499999974,-0.7208170610000001,2.2222118730000004,34.47992388499999,0.65985779
GCA_000441895.2_AS2,Arthropoda (Mandibulata),Insecta,Diptera,Culicidae,Anopheles,Anopheles sinensis,16.16,genome,-0.037851082,-0.9276752715986998,-0.0679424296480599,3.9452288550663,0.2690558250503601,0.08816171,0.02337936,0.0630912999999999,2.4693225469999995,-9.690152855,1.930466275,-71.94674515580998,169.1066521527,54.9882031885,134.7646306045,-160.87812684410008,-112.4064850421,-111.29133469864004,150.79192089380004,41.499555578580015,-13.83825921,-54.186928935500006,-348.0769619000001,-0.1362817300000001,-0.3083809499999998,3.324000379999999,-0.6887587530000004,2.1829783690000006,34.513850164000026,0.6617798599999999
GCA_000326865.1_Helobdella_robusta_v1.0,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,Helobdella robusta,331.0,genome,-0.034896689,-0.9154590900276002,-0.10806913235554,3.7948916005101,0.24516318936974,0.10034657,0.0248824899999999,0.0589056499999999,2.0436867760000004,-9.969865482999998,2.179675598,-71.80492281076,169.59427114450003,54.97950697121001,134.31677922839995,-160.98313454510009,-112.22185895807,-111.40569567401,150.08093709999997,41.56470756336002,-13.194910235000002,-54.13262648999999,-348.984693,-0.1410351100000001,-0.3121630299999996,3.320096280000003,-0.7523292859999998,2.0681015810000014,34.552735824999985,0.69943053
GCA_003052745.1_Sp34_v7,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis inopinata,34.0,genome,-0.043805101,-0.9131746340209,-0.0666529172972,3.8965719705386,0.31695496269098,0.09582216,0.0234419799999999,0.0609439499999999,2.8057536090000004,-10.06320936,2.039890788,-71.91894576371003,169.35527775850002,55.02736030595002,134.5860464925,-161.06536161050002,-112.35381256166,-111.18164825862002,150.51691199139998,41.51467622968001,-13.537351537000005,-54.120566316,-348.2393455999999,-0.14442911,-0.3171027400000001,3.3250145800000017,-0.7807550069999999,2.090852802,34.54425058999999,0.6909054800000002
GCA_003055095.1_ASM305509v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Bethylidae,Goniozus,Goniozus legneri,110.56,genome,-0.039373607,-0.9148432395883002,-0.0783317101837399,3.8463816080466,0.1889369117811599,0.09280407,0.0244385,0.0633983799999999,2.4408225109999995,-9.73779042,2.006581719,-71.92341741059,169.2609391647001,55.00596816183999,134.66613959930004,-160.94366697670003,-112.31225021809004,-111.16843801917,150.6581019252,41.5090334507,-13.6475452505,-54.1759445835,-348.0944711,-0.1374957099999999,-0.3016051299999999,3.324711559999999,-0.6791332500000001,2.108523626,34.573574363000006,0.6752471099999999
GCA_000469685.2_haemonchus_contortus_MHCO3ISE_4.0,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus,Haemonchus contortus,829.1111111,genome,-0.027813806,-0.9280802678219996,-0.0601559053498799,3.9577760614226007,0.2605169052725402,0.08937908,0.02375835,0.06649302,2.511435298999999,-9.639493472000003,1.942873347,-71.96962406797999,169.02440751369994,55.160350385300006,134.6733083259,-161.01988474139998,-112.52491278249,-111.09390327558,150.67127650170005,41.5021337155,-13.803951612,-54.15918953050004,-348.1999766,-0.1340188399999999,-0.3159798300000004,3.323982189999997,-0.692331331,2.2006544269999995,34.485040133,0.6588121400000001
GCA_000816745.1_A_duodenale_2.2.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma duodenale,3049.25,genome,-0.030716208,-0.9281313841561,-0.06003033298294,3.95911246431,0.2731364453662999,0.09013758,0.02362737,0.0656698299999999,2.546264272999999,-9.68500211,1.954152294000001,-71.96463063197999,169.04156535639993,55.11656018682999,134.68358389390005,-160.97508970130002,-112.47766127212002,-111.17200319842998,150.66550244270005,41.51167756334,-13.772360348500005,-54.16392767350002,-348.2448649,-0.13426722,-0.3153664499999999,3.3240869199999987,-0.7039322969999994,2.184021421,34.49668996299998,0.6640744299999999
GCA_000688135.1_Acey_2013.11.30.genDNA,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma ceylanicum,243.0,genome,-0.0301516259999999,-0.9305921594483002,-0.0593445705852199,3.9659700839866,0.26682960207424,0.0891284899999999,0.02363203,0.06585748,2.521070158,-9.629713888,1.93393448,-71.97462417422,169.0052997564,55.10605394647999,134.71903873820003,-160.94450017119996,-112.47845549957002,-111.17759557722,150.72490125119998,41.50673932802,-13.820631476500006,-54.17353214000002,-348.2047334999998,-0.13312293,-0.3136279600000002,3.3240895399999992,-0.690759253,2.1925138689999994,34.495632806,0.6609151000000001
GCA_000803305.1_Toxocara_canis_adult_r1.0,Nematoda,Chromadorea,Rhabditida,Toxocaridae,Toxocara,Toxocara canis,2646.25,genome,-0.033450962,-0.9162055129266998,-0.0721773352773999,3.910762856174101,0.2601037262277,0.0929572299999999,0.0235528899999999,0.0639760499999999,2.450962204000001,-9.840781564000002,2.0171708980000003,-71.93936334877998,169.18116550009998,55.05387709629,134.64890789310002,-160.86360730849998,-112.33975843151003,-111.44810783677,150.5679391149,41.53598711929001,-13.609097475000004,-54.176240415,-348.4003632,-0.13572949,-0.3131894900000001,3.324134919999999,-0.7270085659999999,2.135356857999999,34.538754599,0.67994258
GCA_000699045.2_Apla_2.0,Arthropoda (Mandibulata),Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,152.23,genome,-0.039795627,-0.9127298006071998,-0.08867868673206,3.8018991727789015,0.2802160226893601,0.09919048,0.02451902,0.06203795,2.353744953,-10.021316634,2.154782709,-71.83807976977998,169.49393479409994,55.08215017940001,134.35928506230002,-161.12289212329998,-112.34664875061002,-111.12032497813004,150.15279086160004,41.55873790774,-13.275742251499995,-54.10704484549999,-348.6049472,-0.14560216,-0.3195372500000003,3.322816540000001,-0.7670303139999994,2.07867291,34.55743324,0.6884527899999999
GCA_000328365.1_Capca1,Annelida,Polychaeta,Scolecida,Capitellidae,Capitella,Capitella teleta,121.0416667,genome,-0.025715349,-0.9254932390789,-0.0744131830234,3.9234167244792,0.24027309449518,0.0920760599999999,0.0241795499999999,0.0642658799999999,2.2805152270000004,-9.631660112999995,2.0034284980000003,-71.93314317497999,169.10755810210017,55.123264928080005,134.5805633555,-160.89122814070012,-112.40002945343996,-111.27080672802003,150.5013678985,41.52534930403,-13.6362503035,-54.15647433699998,-348.49427280000003,-0.13072989,-0.3124116500000001,3.32204944,-0.6945070909999997,2.1802853579999995,34.491134880000004,0.6706199
GCA_000327385.1_Helro1,Mollusca,Gastropoda,Lottioidea,Lottiidae,Lottia,Lottia gigantea,6077.25,genome,-0.0336401719999999,-0.9160610269708996,-0.0915107704133399,3.808513040618501,0.2730982286079602,0.10028386,0.02483772,0.06173033,2.294507935,-9.986671933,2.1689294010000006,-71.82762099460003,169.50985181280004,55.12667539986002,134.27047491940004,-161.18586225019996,-112.37532761823996,-111.02516418430002,150.0480373885,41.54935461309,-13.222185057499996,-54.08438458399999,-348.7913716,-0.1446581899999998,-0.3230104200000001,3.3210922500000017,-0.7835112829999997,2.087143116,34.52243385800002,0.6909279299999999
GCA_000347755.4_Ccap_2.1,Arthropoda (Mandibulata),Insecta,Diptera,Tephritidae,Ceratitis,Ceratitis capitata,99.3,genome,-0.0398146289999999,-0.9211960725668996,-0.0893290088000199,3.8236808960297,0.26977605643688,0.09785186,0.02374883,0.0612751099999999,2.238337762,-10.009264062000002,2.132154717000001,-71.86181660957,169.51459592499995,55.000581524170016,134.43791308490003,-160.98444877710003,-112.31152737353,-111.28911951241996,150.22939978280002,41.56926113367001,-13.290106977500004,-54.12927131600001,-348.668027,-0.1394321900000001,-0.31975837,3.322839410000002,-0.7752834530000001,2.080384422,34.547591165000014,0.6938769400000001
GCA_001039355.2_LinAna2.0,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,Lingula anatina,2920.0,genome,-0.0312093969999999,-0.9266923173482,-0.07866165493736,3.8702133032503,0.2938080765085,0.0964909299999999,0.0242511899999999,0.06262065,2.281938922,-9.842267674000002,2.097617073999999,-71.87370828678002,169.3572091402,55.12166941053,134.4014056514,-161.06729755529994,-112.42829805715,-111.10265766709004,150.2091842663,41.559342259580006,-13.392834822000005,-54.1040867625,-348.6941221,-0.13446789,-0.32470945,3.322059460000001,-0.73387168,2.138487284000001,34.48813073200001,0.67998621
GCA_003268045.1_YSA_version1,Arthropoda (Mandibulata),Insecta,Hemiptera,Aphididae,Sipha,Sipha flava,43.0,genome,-0.0420498589999999,-0.9176316542486996,-0.11682056357038,3.674327737601,0.2315164338998799,0.1031075299999999,0.0253396699999999,0.05850475,1.8462409200000005,-10.017968684000005,2.2507417660000004,-71.76061435842,169.77616835790002,54.99593236566001,134.23736277469996,-161.17919793330003,-112.23274977419,-110.96215723179998,150.00339481030002,41.56694290415,-12.996056634000004,-54.11276465199998,-348.9368897,-0.1390786699999998,-0.3145534199999998,3.3210465899999995,-0.7225236570000003,2.01416225,34.59783016599996,0.70131833
GCA_002382865.2_ASM238286v2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Heliothis,Heliothis virescens,47.49,genome,-0.0345693689999999,-0.9229818660905,-0.08954140356992,3.8236858495115,0.25020624993222,0.09590752,0.02440088,0.06430853,2.165546662000001,-9.833990863000002,2.1013397330000005,-71.87321519157996,169.40026417129997,55.05442995586999,134.44436029920004,-161.02168735349997,-112.36793739849998,-111.16276823452,150.2789302803,41.55623148973002,-13.400038869,-54.14842702399999,-348.59413879999994,-0.14223261,-0.3163605499999999,3.321779139999997,-0.7367056859999999,2.112071164999999,34.535453762000024,0.67756387
GCA_000764305.4_Hazt_2.0.2,Arthropoda (Mandibulata),Crustacea,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca,185.0,genome,-0.0303221789999999,-0.9215564904878996,-0.08227142203144,3.880848511497101,0.2496691593481,0.09448947,0.02412747,0.06463722,2.276197282,-9.777435041999995,2.059871654,-71.91075556871,169.25677873970005,55.08886839393003,134.5243402922,-160.92226018760002,-112.34964136025,-111.29691867577996,150.3912069777,41.54554119327,-13.5005753105,-54.160273432,-348.57005840000005,-0.1391832600000001,-0.3137425900000002,3.322014229999998,-0.7322691789999999,2.1402280399999984,34.52039631599998,0.67843583
GCA_003590095.1_tn1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,35.2,genome,-0.035723015,-0.9176551230827,-0.0936005987815199,3.805895021759301,0.24638474790108,0.0971633299999999,0.0244871999999999,0.06367307,2.163319151000001,-9.895837785999998,2.130442432,-71.85636319917,169.45918173519996,55.04722253054,134.39938835709998,-161.01945406750002,-112.33230286997,-111.22209534962,150.20001711809996,41.56356140017,-13.335697275,-54.14224569600001,-348.63148530000007,-0.1443172900000001,-0.31562877,3.32182559,-0.7485444490000004,2.0977770009999985,34.54844448000003,0.68252414
GCA_003073045.1_ASM307304v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea canaliculata,1137.213889,genome,-0.026432845,-0.9300412674369004,-0.0645879665245399,3.937579386423199,0.27890153664252,0.09179794,0.0238784199999999,0.0655286699999999,2.3398949099999995,-9.672813749,2.008323165,-71.94416830252999,169.13745935699998,55.12825668023,134.55064449750003,-160.94036843229995,-112.47894175517996,-111.22441097349,150.4088504825,41.55653153347002,-13.639543528,-54.14331796599997,-348.5747139999998,-0.1327557800000001,-0.3197608199999999,3.32262511,-0.7048581710000001,2.198051294999999,34.46344909900001,0.6664138400000001
GCA_000341915.2_ASM34191v2,Arthropoda (Mandibulata),Insecta,Diptera,Phoridae,Megaselia,Megaselia scalaris,60.28,genome,-0.040523373,-0.9135327173587,-0.0792009796621399,3.8034996716153993,0.3061701711788599,0.10074267,0.02430104,0.061218,2.57526831,-10.116960094999998,2.1638549330000005,-71.83760937451001,169.46533838550008,55.09571194733,134.33710063359996,-161.25275878240012,-112.38263965073,-110.97591113324998,150.1526375816,41.54381873333002,-13.228930986499998,-54.055375889500006,-348.4329601,-0.14375036,-0.3279920199999999,3.3247180599999986,-0.8003087739999997,2.076103251000001,34.55538863600002,0.6940447499999999
GCA_002022765.4_C_virginica-3.0,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Crassostrea virginica,2930.95,genome,-0.034364925,-0.9185980642578002,-0.08638561711214,3.837314566360099,0.2932074725991601,0.0988419199999999,0.0245968999999999,0.0609417799999999,2.329669931,-9.942398809000002,2.130803086,-71.84254726976,169.4427359022001,55.10015630771999,134.33937160139996,-161.10162917799994,-112.38260669613996,-111.14358644524,150.13184711349996,41.55442641576001,-13.3154630605,-54.0869949995,-348.6359868,-0.1369985099999999,-0.3233937899999999,3.322286129999997,-0.7478172750000012,2.108982309,34.509817586,0.6872565300000001
GCA_002938485.2_Soryzae_2.0,Arthropoda (Mandibulata),Insecta,Coleoptera,Curculionidae,Sitophilus,Sitophilus oryzae,124.85,genome,-0.043633523,-0.9181133959069002,-0.09266081893324,3.7731892442426007,0.29568858712428,0.1010498599999999,0.02444649,0.06020918,2.2878564809999995,-10.105150433000002,2.186438364,-71.81849258960999,169.63505624980007,55.04558787868,134.31570987050003,-161.19889976300013,-112.34068164312002,-110.95347110357002,150.09881637139998,41.56172574349,-13.151442558,-54.08579199999999,-348.6638254999999,-0.14669329,-0.3232624,3.323340509999998,-0.791778614999999,2.045004511000001,34.57487706399997,0.6961536299999999
GCA_003991915.1_ElyChl2.0,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia,Elysia chlorotica,466.3888889,genome,-0.031043667,-0.9269730670531998,-0.0731227612344,3.8981691105098006,0.27724097703344,0.0960154399999999,0.02444732,0.0646840899999999,2.470297421,-9.834969215000005,2.07825314,-71.88033351645005,169.34870389280002,55.08409909422002,134.42093019010005,-161.11529803269994,-112.43900432043,-111.01637420542995,150.23829397170005,41.56058454936,-13.464099853999995,-54.08819166500001,-348.44149550000003,-0.13971555,-0.3208417699999997,3.32380537,-0.7662906860000003,2.14577667,34.51165752699997,0.6748863499999999
GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,291.4375,genome,-0.028576834,-0.9311568939753,-0.0538336631866199,3.9868480924328975,0.26048829490952,0.0874683399999999,0.0234035299999999,0.0673072699999999,2.5781034630000006,-9.592274523999995,1.9050118150000004,-71.99971568338002,168.91047282370002,55.13043196427,134.7668780717,-160.90917739839995,-112.50646360017,-111.21714517146002,150.79042168999996,41.50398371365,-13.895320664500002,-54.17574888199999,-348.06556190000003,-0.1337768899999999,-0.3142257199999997,3.324836510000001,-0.6944230670000001,2.2157489210000003,34.488441908999995,0.65569249
GCA_002091915.1_Lexo_gen_Assembly01,Arthropoda (Mandibulata),Crustacea,Isopoda,Ligiidae,Ligia,Ligia exotica,602.25,genome,-0.032357033,-0.9298778554299998,-0.0668137946315999,3.8237165987697015,0.2771978314283801,0.0976194599999999,0.02469064,0.06381635,2.469428061,-9.886712721000004,2.117518872,-71.85717161651002,169.30533704020002,55.25128432145002,134.3717188829,-161.41801539690005,-112.51886681078,-110.47148335924004,150.26272882469996,41.51931912159,-13.359494073499995,-54.03882709299999,-348.40911100000005,-0.12990563,-0.3297203800000003,3.326965989999997,-0.7112224200000004,2.1256855079999983,34.54759148799999,0.67618206
GCA_002269645.1_Mlig_3_7,Platyhelminthes,Turbellaria,Macrostomida,Macrostomidae,Macrostomum,Macrostomum lignano,627.2916667,genome,-0.020084162,-0.9403923211746,-0.0480848220899,4.022955113462899,0.2430931532937199,0.08634723,0.0236959699999999,0.0714206999999999,2.5150052950000004,-9.361691885000004,1.875652297,-72.04227611854002,168.82011484590004,55.1749510369,134.75097178929997,-160.84789854610003,-112.54976052003995,-111.01338635768,150.75170592690003,41.51786796012,-13.939044589999998,-54.17249950600003,-348.0829548000002,-0.14405801,-0.3142095400000003,3.3232088,-0.744576321,2.251591243,34.459578778000015,0.64522897
GCA_001703475.1_H_elegans_v1.0,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides elegans,304.1666667,genome,-0.0334603569999999,-0.9197991368794998,-0.0904293001801999,3.816089435609698,0.2441891056319399,0.0974432799999999,0.02455936,0.06135677,2.153333734,-9.890260872000002,2.1159526959999986,-71.85096690773001,169.40859280060002,55.06385194597999,134.41567405769996,-161.06233342870004,-112.35118495127996,-111.14975675252003,150.2718216429,41.53724166363,-13.339928895000003,-54.12221301800002,-348.6432568999999,-0.13540637,-0.31830218,3.322684270000001,-0.7324468140000001,2.0966376380000007,34.542927125,0.68666166
GCA_003671525.1_Sgl1.0,Mollusca,Bivalvia,Ostreida,Ostreidae,Saccostrea,Saccostrea glomerata,2737.5,genome,-0.0373985769999999,-0.9151230604009,-0.0868387649974599,3.8115799560226,0.3090230168719,0.10065059,0.0244866199999999,0.06032622,2.364717639,-10.058587954,2.165828501,-71.83300086609003,169.51905303079994,55.11190770246,134.2945852405,-161.14750705659998,-112.37114671621998,-111.10696367769,150.0560296273,41.56272092853,-13.2183905865,-54.07194754700002,-348.6719552,-0.13891481,-0.3263580500000002,3.322783290000001,-0.7672130100000001,2.081846699,34.52567089499998,0.6942760099999999
